iter	Passed	Remaining
0	2	2803
1	3	1724
2	4	1353
3	4	1137
4	5	1002
5	5	920
6	6	854
7	6	819
8	7	788
9	7	759
10	8	739
11	8	723
12	9	706
13	9	697
14	10	719
15	11	711
16	12	705
17	14	806
18	15	794
19	15	781
20	17	809
21	17	797
22	18	787
23	19	782
24	19	772
25	20	762
26	20	751
27	21	740
28	21	731
29	22	723
30	22	714
31	23	705
32	23	698
33	24	691
34	24	684
35	25	677
36	25	674
37	26	670
38	28	701
39	29	697
40	31	730
41	31	726
42	32	722
43	33	717
44	36	764
45	36	759
46	37	753
47	38	758
48	38	752
49	39	748
50	42	787
51	42	782
52	43	775
53	43	769
54	44	763
55	45	759
56	45	754
57	46	749
58	46	745
59	47	740
60	47	735
61	48	730
62	48	725
63	49	720
64	49	716
65	50	711
66	50	706
67	51	702
68	51	697
69	52	693
70	52	689
71	53	685
72	53	681
73	54	677
74	54	673
75	55	670
76	56	673
77	56	670
78	57	667
79	57	664
80	58	661
81	58	658
82	59	654
83	59	652
84	60	650
85	61	650
86	61	647
87	62	645
88	62	642
89	63	639
90	63	636
91	64	633
92	64	631
93	65	628
94	65	625
95	66	623
96	66	620
97	67	618
98	67	615
99	68	613
100	68	610
101	69	608
102	69	606
103	70	604
104	70	602
105	71	599
106	71	597
107	72	595
108	72	593
109	73	590
110	73	589
111	74	586
112	74	584
113	74	582
114	75	580
115	75	578
116	76	577
117	76	575
118	77	573
119	77	571
120	78	569
121	78	567
122	79	566
123	79	564
124	80	562
125	80	560
126	81	559
127	81	557
128	82	556
129	82	554
130	83	552
131	83	551
132	84	549
133	84	548
134	85	546
135	85	544
136	86	543
137	86	541
138	87	540
139	87	539
140	88	538
141	88	537
142	89	536
143	90	535
144	90	534
145	91	533
146	91	533
147	92	531
148	92	530
149	93	529
150	93	528
151	94	527
152	94	525
153	95	524
154	96	524
155	96	523
156	97	523
157	97	522
158	98	520
159	98	519
160	99	518
161	99	516
162	100	515
163	100	514
164	101	512
165	101	511
166	102	510
167	102	509
168	103	508
169	103	507
170	104	505
171	104	504
172	105	503
173	105	502
174	106	501
175	106	499
176	107	498
177	107	497
178	108	497
179	108	496
180	109	496
181	110	495
182	110	495
183	111	494
184	112	493
185	112	493
186	113	492
187	113	491
188	114	490
189	114	488
190	115	488
191	115	486
192	116	485
193	116	484
194	118	491
195	119	490
196	120	489
197	120	488
198	121	487
199	121	487
200	122	486
201	122	485
202	123	484
203	123	483
204	124	482
205	124	481
206	125	480
207	125	479
208	126	478
209	126	477
210	127	476
211	127	475
212	128	474
213	128	473
214	129	472
215	129	471
216	130	470
217	130	469
218	131	468
219	132	468
220	132	467
221	133	466
222	133	465
223	134	464
224	134	463
225	135	462
226	135	461
227	136	460
228	136	460
229	137	459
230	137	458
231	138	457
232	138	456
233	139	455
234	139	454
235	140	453
236	140	452
237	141	451
238	141	450
239	142	450
240	142	449
241	143	448
242	143	447
243	144	446
244	144	445
245	145	445
246	145	444
247	146	443
248	146	442
249	147	441
250	147	440
251	148	439
252	148	438
253	149	438
254	149	437
255	150	436
256	150	435
257	151	435
258	151	434
259	152	433
260	152	433
261	153	432
262	155	436
263	156	435
264	156	434
265	157	434
266	157	433
267	158	432
268	158	431
269	159	431
270	160	430
271	160	429
272	161	428
273	161	427
274	162	427
275	162	426
276	162	425
277	163	424
278	163	423
279	164	422
280	164	422
281	165	421
282	165	420
283	166	419
284	166	418
285	167	417
286	167	417
287	168	416
288	168	415
289	169	414
290	169	413
291	170	413
292	170	412
293	171	411
294	172	411
295	172	410
296	173	410
297	173	409
298	174	408
299	174	407
300	175	406
301	175	405
302	176	405
303	176	404
304	177	403
305	177	402
306	178	402
307	178	401
308	179	400
309	179	399
310	180	398
311	180	398
312	181	397
313	181	396
314	182	395
315	182	395
316	183	394
317	183	393
318	184	393
319	184	392
320	185	392
321	185	391
322	186	390
323	186	390
324	187	389
325	188	388
326	188	388
327	189	387
328	189	387
329	190	386
330	190	385
331	191	385
332	191	384
333	192	383
334	192	382
335	193	382
336	193	381
337	194	380
338	194	379
339	195	378
340	195	378
341	196	377
342	196	376
343	197	376
344	197	375
345	198	374
